Iteracoes,Aproximacao_PI,PI_Real,Erro_Absoluto,Tempo_ms,Precisao,Digitos_Corretos
100,3.1315929036,3.141592653589793,0.0099997500,0.000,99.68,1
200,3.1365926848,3.141592653589793,0.0049999688,0.000,99.84,1
300,3.1382593295,3.141592653589793,0.0033333241,0.000,99.89,1
400,3.1390926575,3.141592653589793,0.0024999961,0.000,99.92,1
500,3.1395926556,3.141592653589793,0.0019999980,0.000,99.94,1
600,3.1399259881,3.141592653589793,0.0016666655,0.000,99.95,1
700,3.1401640829,3.141592653589793,0.0014285707,0.000,99.95,2
800,3.1403426541,3.141592653589793,0.0012499995,0.000,99.96,2
900,3.1404815428,3.141592653589793,0.0011111108,0.000,99.96,2
1000,3.1405926538,3.141592653589793,0.0009999997,0.000,99.97,2
1100,3.1406835629,3.141592653589793,0.0009090907,0.000,99.97,2
1200,3.1407593204,3.141592653589793,0.0008333332,0.000,99.97,2
1300,3.1408234229,3.141592653589793,0.0007692307,0.000,99.98,2
1400,3.1408783680,3.141592653589793,0.0007142856,0.000,99.98,2
1500,3.1409259870,3.141592653589793,0.0006666666,0.000,99.98,2
1600,3.1409676537,3.141592653589793,0.0006249999,0.000,99.98,2
1700,3.1410044183,3.141592653589793,0.0005882352,0.000,99.98,3
1800,3.1410370981,3.141592653589793,0.0005555555,0.000,99.98,3
1900,3.1410663378,3.141592653589793,0.0005263158,0.000,99.98,3
2000,3.1410926536,3.141592653589793,0.0005000000,0.000,99.98,3
2100,3.1411164631,3.141592653589793,0.0004761904,0.000,99.98,3
2200,3.1411381082,3.141592653589793,0.0004545454,0.000,99.99,3
2300,3.1411578710,3.141592653589793,0.0004347826,0.000,99.99,3
2400,3.1411759869,3.141592653589793,0.0004166666,0.000,99.99,3
2500,3.1411926536,3.141592653589793,0.0004000000,0.000,99.99,3
2600,3.1412080382,3.141592653589793,0.0003846154,0.000,99.99,3
2700,3.1412222832,3.141592653589793,0.0003703704,0.000,99.99,3
2800,3.1412355107,3.141592653589793,0.0003571428,0.000,99.99,3
2900,3.1412478260,3.141592653589793,0.0003448276,0.000,99.99,3
