threads,type,time
1,memory,0.036917
1,compute,4.553006
2,memory,0.905551
2,compute,5.279287
3,memory,0.035686
3,compute,4.348843
4,memory,0.021937
4,compute,4.228226
5,memory,0.015621
5,compute,3.965446
6,memory,0.035874
6,compute,4.083302
7,memory,0.030025
7,compute,4.008554
8,memory,0.019755
8,compute,3.987696
9,memory,0.020052
9,compute,4.130856
10,memory,0.039433
10,compute,4.039382
11,memory,0.039939
11,compute,4.077676
12,memory,0.023548
12,compute,3.946790
13,memory,0.020946
13,compute,3.970182
14,memory,0.018630
14,compute,3.923764
15,memory,0.016247
15,compute,3.961106
16,memory,0.031063
16,compute,3.899948
